x,y,z
-0.166,-0.063,10.007
-0.139,-0.08,10.014
-0.161,-0.085,9.951
-0.161,-0.061,9.995
-0.182,-0.042,9.999
-0.173,-0.054,9.985
-0.17,-0.08,9.985
-0.194,-0.068,10.021
-0.158,-0.08,9.959
-0.163,-0.078,9.947
-0.168,-0.068,9.98
-0.149,-0.061,10.002
-0.168,-0.037,9.978
-0.151,-0.044,9.99
-0.154,-0.075,9.961
-0.168,-0.092,9.961
-0.158,-0.07,9.987
-0.218,-0.078,9.983
-0.156,-0.042,9.978
-0.161,-0.066,9.971
-0.163,-0.068,9.999
-0.175,-0.092,9.942
-0.197,-0.018,9.987
-0.182,-0.061,10.014
-0.185,-0.066,9.995
-0.134,-0.106,9.992
-0.19,-0.049,9.997
-0.199,-0.099,9.983
-0.139,-0.07,9.975
-0.154,-0.09,9.963
-0.166,-0.042,10.007
-0.185,-0.056,9.966
-0.158,-0.056,9.951
-0.149,-0.061,9.985
-0.166,-0.044,10.002
-0.149,-0.078,9.983
-0.161,-0.068,9.99
-0.192,-0.058,9.99
-0.19,-0.061,10.035
-0.156,-0.061,9.975
-0.19,-0.051,10.069
-0.163,-0.094,10.035
-0.13,-0.099,9.966
-0.187,-0.035,10.026
-0.199,-0.056,10.018
-0.12,-0.109,9.971
-0.161,-0.106,9.956
-0.175,-0.097,9.99
-0.13,-0.078,10.059
-0.149,-0.073,9.961
-0.185,-0.097,10.026
-0.146,-0.097,9.999
-0.156,-0.049,9.992
-0.163,-0.097,10.014
-0.19,-0.082,9.997
-0.166,-0.09,9.985
-0.161,-0.109,9.959
-0.149,-0.092,9.966
-0.158,-0.099,9.973
-0.154,-0.07,9.954
-0.17,-0.078,9.978
-0.19,-0.09,10.018
-0.156,-0.116,10.002
-0.132,-0.087,9.966
-0.175,-0.061,9.985
-0.18,-0.092,9.995
-0.146,-0.039,9.971
-0.134,-0.068,9.997
-0.168,-0.061,10.002
-0.149,-0.058,9.987
-0.158,-0.037,9.968
-0.192,-0.073,9.968
-0.19,-0.073,9.98
-0.194,-0.07,9.956
-0.163,-0.085,9.995
-0.173,-0.054,10.014
-0.149,-0.094,9.956
-0.156,-0.08,9.997
-0.142,-0.037,10.009
-0.146,-0.094,9.961
-0.178,-0.082,9.975
-0.178,-0.085,10.033
-0.182,-0.08,9.98
-0.154,-0.044,10.004
-0.125,-0.102,10.009
-0.175,-0.061,10.011
-0.166,-0.092,9.959
-0.206,-0.085,9.949
-0.163,-0.102,10.038
-0.123,-0.044,9.963
-0.156,-0.066,9.995
-0.166,-0.085,10.002
-0.139,-0.049,9.995
-0.161,-0.023,9.992
-0.194,-0.116,10.023
-0.144,-0.066,10.023
-0.12,-0.049,9.959
-0.146,-0.092,10.018
-0.197,-0.087,9.987
-0.158,-0.087,9.966
-0.173,-0.073,9.961
-0.154,-0.114,9.987
-0.206,-0.102,10.021
-0.156,-0.063,9.992
-0.194,-0.087,9.975
-0.175,-0.07,10.057
-0.18,-0.051,9.987
-0.185,-0.056,9.992
-0.187,-0.051,10.014
-0.19,-0.099,10.028
-0.178,-0.07,9.954
-0.163,-0.073,10.002
-0.161,-0.08,10.009
-0.149,-0.025,9.963
-0.144,-0.07,10.014
-0.17,-0.044,10.004
-0.144,-0.109,9.925
-0.199,-0.061,9.995
-0.168,-0.075,9.971
-0.204,-0.092,9.975
-0.158,-0.051,9.939
-0.142,-0.023,9.992
-0.132,-0.109,9.997
-0.149,-0.063,9.999
-0.146,-0.085,9.98
-0.173,-0.092,9.995
-0.146,-0.099,9.98
-0.163,-0.068,9.98
-0.202,-0.056,9.973
-0.202,-0.094,9.913
-0.149,-0.056,9.872
-0.137,-0.073,9.928
-0.149,-0.061,9.93
-0.154,-0.094,9.911
-0.173,-0.044,9.894
-0.151,-0.09,9.925
-0.111,-0.039,9.925
-0.185,-0.075,9.906
-0.182,-0.058,9.928
-0.161,-0.07,9.899
-0.199,-0.068,9.923
-0.146,-0.023,9.932
-0.161,-0.085,9.959
-0.111,-0.111,9.913
-0.151,-0.068,9.904
-0.161,-0.08,9.906
-0.163,-0.085,9.913
-0.202,-0.073,9.88
-0.161,-0.09,9.904
-0.19,-0.121,9.93
-0.142,-0.082,9.908
-0.168,-0.08,9.908
-0.154,-0.058,9.937
-0.149,-0.106,9.913
-0.134,-0.061,9.899
-0.154,-0.068,9.937
-0.173,-0.073,9.954
-0.18,-0.056,9.923
-0.175,-0.092,9.908
-0.139,-0.07,9.932
-0.166,-0.049,9.932
-0.175,-0.066,9.908
-0.166,-0.073,9.99
-0.125,-0.068,9.944
-0.166,-0.058,9.904
-0.18,-0.063,9.935
-0.142,-0.051,9.949
-0.13,-0.058,9.904
-0.142,-0.063,9.904
-0.17,-0.109,9.937
-0.18,-0.063,9.939
-0.161,-0.085,9.889
-0.149,-0.09,9.925
-0.17,-0.044,9.928
-0.175,-0.063,9.916
-0.125,-0.075,9.911
-0.132,-0.061,9.973
-0.13,-0.075,9.951
-0.166,-0.049,9.913
-0.175,-0.068,9.971
-0.113,-0.07,9.918
-0.151,-0.068,9.884
-0.156,-0.066,9.935
-0.166,-0.092,9.956
-0.19,-0.058,9.911
-0.163,-0.058,9.928
-0.194,-0.078,9.93
-0.158,-0.099,9.944
-0.154,-0.07,9.901
-0.163,-0.054,9.935
-0.12,-0.082,9.973
-0.154,-0.07,9.935
-0.161,-0.073,9.944
-0.213,-0.08,9.944
-0.192,-0.073,9.918
-0.156,-0.08,9.916
-0.216,-0.128,9.956
-0.13,-0.066,9.93
-0.221,-0.054,9.911
-0.175,-0.042,9.913
-0.18,-0.027,9.951
-0.175,-0.066,9.947
-0.154,-0.07,9.911
-0.156,-0.075,9.932
-0.149,-0.073,9.959
-0.194,-0.106,9.928
-0.187,-0.042,9.916
-0.154,-0.056,9.937
-0.156,-0.056,9.959
-0.168,-0.044,9.956
-0.158,-0.046,9.966
-0.178,-0.037,9.911
-0.144,-0.102,9.92
-0.111,-0.07,9.959
-0.158,-0.044,9.913
-0.166,-0.023,9.93
-0.146,-0.068,9.944
-0.18,-0.044,9.93
-0.173,-0.09,9.901
-0.146,-0.044,9.932
-0.18,-0.058,9.942
-0.132,-0.061,9.93
-0.182,-0.054,9.916
-0.206,-0.09,9.983
-0.185,-0.087,9.985
-0.18,-0.092,9.93
-0.134,-0.063,9.949
-0.163,-0.056,9.947
-0.187,-0.104,9.947
-0.149,-0.058,9.944
-0.154,-0.063,9.932
-0.168,-0.078,9.939
-0.17,-0.061,9.92
-0.13,-0.035,9.939
-0.173,-0.073,9.973
-0.149,-0.035,9.93
-0.134,-0.073,9.947
-0.149,-0.094,9.935
-0.146,-0.068,9.93
-0.17,-0.114,9.894
-0.204,-0.046,9.98
-0.168,-0.082,9.987
-0.197,-0.039,9.889
-0.163,-0.092,9.93
-0.151,-0.08,9.971
-0.137,-0.063,9.937
-0.146,-0.085,9.949
-0.213,-0.066,9.971
-0.178,-0.078,9.925
-0.13,-0.058,9.944
-0.197,-0.073,9.951
-0.192,-0.068,9.959
-0.166,-0.061,9.939
-0.166,-0.092,9.937
-0.149,-0.08,9.959
-0.154,-0.046,9.904
-0.175,-0.085,9.901
-0.149,-0.078,9.963
-0.18,-0.082,9.928
-0.163,-0.051,9.92
-0.151,-0.042,9.954
-0.202,-0.08,9.954
-0.156,-0.082,9.939
-0.146,-0.061,9.925
-0.178,-0.037,9.951
-0.127,-0.085,9.932
-0.166,-0.039,9.944
-0.168,-0.054,9.961
-0.158,-0.085,9.932
-0.142,-0.013,9.928
-0.144,-0.037,9.947
-0.173,-0.08,9.987
-0.144,-0.042,9.939
-0.156,-0.058,9.923
-0.142,-0.082,9.985
-0.144,-0.066,9.959
-0.166,-0.097,9.956
-0.182,-0.097,9.992
-0.132,-0.075,9.987
-0.182,-0.049,9.942
-0.168,-0.104,9.901
-0.137,-0.054,9.99
-0.19,-0.042,9.928
-0.156,-0.078,9.928
-0.146,-0.09,9.956
-0.139,-0.066,9.954
-0.134,-0.085,9.973
-0.175,-0.042,9.971
-0.166,-0.042,9.966
-0.151,-0.082,9.942
-0.185,-0.085,9.93
-0.168,-0.085,9.942
-0.156,-0.066,9.949
-0.158,-0.082,9.937
-0.185,-0.078,9.956
-0.19,-0.03,9.959
-0.168,-0.102,9.925
-0.192,-0.099,9.951
-0.154,-0.082,9.963
-0.139,-0.085,9.995
-0.173,-0.046,9.956
-0.144,-0.082,9.98
-0.139,-0.085,9.959
-0.158,-0.121,9.944
-0.199,-0.07,9.928
-0.134,-0.09,9.973
-0.144,-0.068,9.928
-0.161,-0.063,9.954
-0.156,-0.087,9.935
-0.134,-0.063,9.923
-0.127,-0.046,9.98
-0.156,-0.066,9.973
-0.139,-0.066,9.93
-0.118,-0.063,9.951
-0.192,-0.051,9.944
-0.137,-0.049,9.975
-0.154,-0.08,9.935
-0.134,-0.063,9.949
-0.158,-0.066,9.956
-0.194,-0.061,9.923
-0.144,-0.075,9.918
-0.194,-0.051,9.947
-0.149,-0.039,9.925
-0.139,-0.068,9.954
-0.161,-0.066,9.978
-0.17,-0.078,9.983
-0.158,-0.063,9.983
-0.185,-0.085,9.93
-0.149,-0.092,9.925
-0.12,-0.044,9.935
-0.166,-0.121,9.942
-0.182,-0.066,9.968
-0.185,-0.068,9.954
-0.19,-0.02,9.93
-0.182,-0.054,9.956
-0.175,-0.068,9.932
-0.17,-0.09,9.961
-0.139,-0.097,9.906
-0.185,-0.054,9.98
-0.178,-0.054,9.951
-0.154,-0.075,9.935
-0.19,-0.061,9.942
-0.146,-0.09,9.968
-0.094,-0.042,9.939
-0.168,-0.082,9.93
-0.142,-0.09,9.949
-0.173,-0.073,9.951
-0.178,-0.07,9.951
-0.163,-0.08,9.956
-0.175,-0.056,9.954
-0.144,-0.07,9.935
-0.18,-0.063,9.923
-0.127,-0.09,9.975
-0.173,-0.061,9.963
-0.139,-0.078,9.92
-0.204,-0.061,9.98
-0.154,-0.075,9.949
-0.149,-0.051,9.932
-0.161,-0.07,9.954
-0.194,-0.063,9.951
-0.175,-0.068,9.947
-0.132,-0.106,9.928
-0.173,-0.02,10.004
-0.173,-0.078,9.959
-0.154,-0.066,9.985
-0.127,-0.078,9.963
-0.163,-0.073,9.975
-0.166,-0.07,9.956
-0.192,-0.082,9.99
-0.18,-0.063,9.995
-0.149,-0.087,9.968
-0.144,-0.039,9.949
-0.163,-0.063,9.987
-0.182,-0.066,9.956
-0.13,-0.085,9.947
-0.192,-0.054,9.983
-0.149,-0.001,9.968
-0.17,-0.046,9.951
-0.158,-0.061,9.954
-0.206,-0.109,9.92
-0.156,-0.094,9.963
-0.144,-0.073,9.918
-0.178,-0.039,9.968
-0.19,-0.042,9.959
-0.168,-0.068,9.928
-0.166,-0.068,9.978
-0.178,-0.097,10.021
-0.134,-0.087,9.935
-0.17,-0.063,9.942
-0.17,-0.054,9.93
-0.142,-0.099,9.942
-0.103,-0.066,9.985
-0.151,-0.066,9.999
-0.111,-0.046,9.963
-0.139,-0.063,9.916
-0.178,-0.061,9.939
-0.178,-0.058,9.954
-0.168,-0.07,9.968
-0.12,-0.09,9.916
-0.156,-0.085,9.959
-0.132,-0.063,9.966
-0.197,-0.087,9.939
-0.178,-0.092,9.985
-0.161,-0.044,9.98
-0.185,-0.073,9.951
-0.187,-0.056,9.961
-0.166,-0.085,9.973
-0.158,-0.073,9.935
-0.19,-0.063,9.939
-0.192,-0.078,9.999
-0.123,-0.063,9.963
-0.17,-0.042,9.937
-0.192,-0.061,9.954
-0.192,-0.087,9.978
-0.166,-0.07,9.959
-0.12,-0.025,9.901
-0.18,-0.099,9.947
-0.161,-0.051,9.997
-0.137,-0.056,9.923
-0.137,-0.073,9.966
-0.115,-0.049,9.959
-0.192,-0.08,9.961
-0.154,-0.066,9.928
-0.175,-0.063,10.004
-0.149,-0.051,9.975
-0.185,-0.104,9.949
-0.161,-0.066,9.947
-0.13,-0.035,9.975
-0.115,-0.068,9.947
-0.173,-0.109,9.935
-0.156,-0.085,9.975
-0.213,-0.085,9.918
-0.156,-0.078,9.928
-0.149,-0.039,9.975
-0.113,-0.087,9.93
-0.192,-0.085,9.954
-0.154,-0.075,9.983
-0.173,-0.08,9.944
-0.123,-0.085,9.908
-0.173,-0.073,9.951
-0.156,-0.087,9.947
-0.151,-0.13,9.947
-0.185,-0.056,9.985
-0.12,-0.08,9.961
-0.173,-0.063,9.942
-0.156,-0.058,9.949
-0.175,-0.094,9.925
-0.13,-0.056,9.947
-0.197,-0.07,9.963
-0.161,-0.078,9.978
-0.161,-0.056,9.987
-0.149,-0.042,9.995
-0.187,-0.07,9.939
-0.139,-0.087,9.942
-0.221,-0.085,9.932
-0.194,-0.082,9.935
-0.18,-0.054,9.956
-0.182,-0.063,9.949
-0.178,-0.054,9.966
-0.151,-0.09,9.916
-0.13,-0.099,10.002
-0.158,-0.068,9.961
-0.146,-0.075,9.916
-0.142,-0.039,9.978
-0.211,-0.023,9.961
-0.168,-0.056,9.954
-0.185,-0.08,9.963
-0.209,-0.09,9.992
-0.154,-0.02,9.98
-0.168,-0.075,9.942
-0.173,-0.07,9.992
-0.18,-0.073,9.942
-0.178,-0.08,9.918
-0.146,-0.097,9.942
-0.139,-0.08,9.968
-0.154,-0.042,9.978
-0.13,-0.109,9.959
-0.178,-0.054,9.985
-0.154,-0.102,9.959
-0.175,-0.049,9.942
-0.154,-0.07,9.987
-0.197,-0.068,9.968
-0.173,-0.061,9.937
-0.17,-0.013,9.983
-0.154,-0.051,10.004
-0.146,-0.085,9.939
-0.168,-0.068,9.928
-0.19,-0.049,9.963
-0.12,-0.056,9.971
-0.187,-0.044,9.932
-0.166,-0.066,9.942
-0.17,-0.046,9.975
-0.168,-0.056,9.949
-0.151,-0.063,9.949
-0.161,-0.118,9.978
-0.146,-0.066,9.968
-0.185,-0.085,9.944
-0.182,-0.068,10.016
-0.178,-0.039,9.968
-0.168,-0.09,9.944
-0.166,-0.049,9.947
-0.154,-0.051,9.956
-0.199,-0.087,9.963
-0.194,-0.075,9.947
-0.206,-0.078,9.975
-0.161,-0.08,9.954
-0.17,-0.054,9.887
-0.17,-0.066,9.978
-0.166,-0.092,9.985
-0.163,-0.049,9.947
-0.194,-0.085,9.954
-0.146,-0.097,9.968
-0.125,-0.078,9.935
-0.18,-0.046,9.966
-0.168,-0.092,10.009
-0.139,-0.104,9.925
-0.166,-0.082,9.971
-0.185,-0.037,9.983
-0.168,-0.097,9.973
-0.199,-0.075,9.935
-0.127,-0.044,9.973
-0.151,-0.111,9.949
-0.18,-0.054,9.951
-0.161,-0.056,9.913
-0.13,-0.063,10.011
-0.146,-0.056,9.961
-0.161,-0.075,9.937
-0.187,-0.042,9.966
-0.166,-0.063,9.959
-0.163,-0.051,9.956
-0.132,-0.082,9.932
-0.144,-0.035,9.999
-0.163,-0.032,9.971
-0.149,-0.035,9.944
-0.187,-0.063,9.963
-0.161,-0.073,9.973
-0.151,-0.073,9.911
-0.168,-0.094,9.947
-0.158,-0.078,9.961
-0.158,-0.046,9.906
-0.156,-0.032,9.961
-0.142,-0.068,9.949
-0.199,-0.015,9.995
-0.118,-0.063,9.944
-0.156,-0.09,9.944
-0.156,-0.09,9.987
-0.166,-0.09,9.928
-0.146,-0.08,9.944
-0.139,-0.078,9.956
-0.123,-0.07,9.942
-0.182,-0.075,9.911
-0.182,-0.128,9.99
-0.166,-0.085,9.961
-0.187,-0.066,9.894
-0.146,-0.042,9.963
-0.149,-0.039,9.975
-0.161,-0.097,9.971
-0.137,-0.109,9.932
-0.149,-0.09,9.956
-0.197,-0.109,9.963
-0.149,-0.051,9.968
-0.134,-0.082,9.939
-0.17,-0.082,9.992
-0.149,-0.094,9.932
-0.173,-0.085,9.949
-0.156,-0.056,9.92
-0.158,-0.058,9.93
-0.202,-0.054,9.92
-0.194,-0.07,9.956
-0.175,-0.07,9.939
-0.161,-0.054,9.93
-0.161,-0.046,9.963
-0.163,-0.104,9.942
-0.144,-0.085,9.959
-0.156,-0.08,9.947
-0.187,-0.056,9.968
-0.123,-0.035,9.975
-0.175,-0.085,9.983
-0.168,-0.039,9.954
-0.158,-0.066,9.961
-0.137,-0.046,9.983
-0.137,-0.056,9.956
-0.158,-0.046,9.973
-0.158,-0.049,9.937
-0.161,-0.044,9.968
-0.108,-0.092,9.963
-0.192,-0.051,9.978
0.312,0.673,-16.87
-2.371,-1.809,11.594
-0.123,0.29,-6.869
0.078,0.455,-0.944
-0.908,0.563,24.788
0.181,0.158,9.623
0.154,0.477,2.312
-0.482,-0.178,10.174
-0.178,-0.904,15.609
0.42,0,9.547
0.058,0.427,4.828
-0.589,0.19,11.254
-0.194,-0.248,13.306
0.137,-0.243,8.024
-0.326,0.276,7.548
-0.326,-0.068,12.327
0.159,-0.157,11.132
0.176,0.01,7.356
-0.484,-0.066,9.499
-0.436,-0.03,12.008
0.176,-0.054,9.825
0.03,0.003,8.462
-0.338,-0.116,10.476
-0.223,-0.171,10.871
0.008,0.008,9.039
-0.118,-0.008,9.602
-0.403,-0.121,10.955
-0.063,-0.164,9.992
0.02,-0.102,9.13
-0.228,-0.025,10.105
-0.23,-0.025,10.579
-0.077,-0.044,9.647
-0.07,-0.011,9.683
-0.259,-0.049,10.461
-0.163,-0.104,10.059
0.006,-0.037,9.48
-0.187,-0.046,10.045
-0.261,-0.085,10.411
-0.168,-0.08,9.779
-0.053,-0.07,9.693
-0.173,-0.003,10.241
-0.259,-0.087,10.126
-0.18,-0.046,9.664
-0.125,-0.056,9.942
-0.18,-0.066,10.315
-0.163,-0.054,9.963
-0.13,-0.037,9.64
-0.221,-0.015,10.028
-0.142,-0.075,10.239
-0.132,-0.092,9.875
-0.166,-0.07,9.762
-0.202,-0.094,10.15
-0.113,-0.085,10.069
-0.134,-0.056,9.736
-0.161,-0.054,9.884
-0.23,-0.133,10.215
-0.194,-0.039,9.975
-0.13,-0.037,9.784
-0.144,0.008,9.961
-0.168,-0.061,10.169
-0.151,-0.092,9.896
-0.168,-0.109,9.827
-0.175,-0.09,10.071
-0.108,-0.063,10.095
-0.146,-0.061,9.829
-0.151,-0.078,9.901
-0.17,-0.068,10.09
-0.168,-0.061,9.951
-0.134,-0.094,9.865
-0.142,-0.035,10.018
-0.166,-0.092,9.992
-0.132,-0.027,9.86
-0.187,-0.063,9.92
-0.13,-0.073,10.028
-0.168,-0.07,9.956
-0.12,-0.109,9.925
-0.166,-0.056,9.987
-0.168,-0.104,9.992
-0.166,-0.106,9.904
-0.221,-0.068,9.932
-0.199,-0.049,10.018
-0.123,-0.039,9.951
-0.125,-0.063,9.954
-0.156,-0.061,9.93
-0.156,-0.054,9.951
-0.163,-0.049,9.928
-0.151,-0.073,9.999
-0.13,-0.058,9.987
-0.156,-0.078,9.908
-0.158,-0.056,9.93
-0.154,-0.075,9.928
-0.139,-0.049,9.966
-0.185,-0.046,9.935
-0.163,-0.063,9.947
-0.158,-0.066,9.951
-0.134,-0.087,9.954
-0.161,-0.042,9.987
-0.175,-0.092,9.985
-0.125,-0.046,9.913
-0.17,-0.068,9.951
-0.127,-0.049,9.956
-0.149,-0.104,9.971
-0.178,-0.063,9.954
-0.182,-0.066,9.939
-0.146,-0.03,9.944
-0.123,-0.054,9.954
-0.137,-0.087,9.98
-0.19,-0.078,9.978
-0.156,-0.054,9.906
-0.178,-0.046,10.009
-0.134,-0.097,10.007
-0.19,-0.07,9.956
-0.161,-0.068,9.92
-0.166,-0.066,9.985
-0.185,-0.02,9.987
-0.161,-0.073,9.939
-0.173,-0.085,9.975
-0.142,-0.035,10.033
-0.151,-0.061,9.956
-0.192,-0.075,9.942
-0.151,-0.066,9.944
-0.19,-0.061,9.956
-0.146,-0.087,9.956
-0.206,-0.056,9.966
-0.161,-0.075,9.968
-0.154,-0.037,9.949
-0.218,-0.058,9.963
-0.161,-0.063,9.971
-0.149,-0.094,9.975
-0.19,-0.09,9.944
-0.173,-0.063,9.947
-0.194,-0.104,9.935
-0.125,-0.078,9.968
-0.168,-0.066,9.954
-0.168,-0.094,9.98
-0.144,-0.03,9.954
-0.151,-0.082,9.93
-0.118,-0.063,9.995
-0.163,-0.042,9.968
-0.118,-0.056,9.987
-0.149,-0.066,9.949
-0.156,-0.118,9.978
-0.125,-0.061,9.956
-0.173,-0.058,9.935
-0.163,-0.02,9.987
-0.142,-0.07,9.963
-0.146,-0.102,9.971
-0.163,-0.039,9.992
-0.146,-0.063,9.975
-0.163,-0.08,9.939
-0.204,-0.085,9.995
-0.144,-0.046,9.959
-0.197,-0.085,9.944
-0.146,-0.061,9.966
-0.185,-0.075,9.992
-0.204,-0.058,9.935
-0.142,-0.085,9.944
-0.168,-0.104,9.978
-0.158,-0.051,9.954
-0.154,-0.054,9.935
-0.204,-0.08,9.999
-0.158,-0.092,9.956
-0.199,-0.061,9.966
-0.173,-0.073,9.954
-0.178,-0.09,9.963
-0.154,-0.066,9.93
-0.113,-0.07,9.947
-0.151,-0.092,9.956
-0.202,-0.049,9.995
-0.142,-0.061,9.937
-0.161,-0.061,9.925
-0.182,-0.075,9.987
-0.13,-0.08,9.944
-0.13,-0.056,9.944
-0.166,-0.099,9.935
-0.158,-0.104,9.954
-0.144,-0.061,9.932
-0.115,-0.058,9.954
-0.168,-0.078,9.978
-0.149,-0.056,10.002
-0.149,-0.032,9.937
