x,y,z
-0.163,-0.082,9.932
-0.146,-0.066,9.978
-0.13,-0.049,9.935
-0.123,-0.008,9.956
-0.161,-0.111,9.937
-0.142,-0.082,9.961
-0.132,-0.087,9.985
-0.187,-0.063,9.928
-0.144,-0.063,9.983
-0.161,-0.056,9.942
-0.127,-0.08,9.923
-0.082,-0.075,9.98
-0.13,-0.063,9.973
-0.139,-0.044,9.937
-0.156,-0.078,9.963
-0.149,-0.061,9.99
-0.13,-0.056,9.959
-0.154,-0.058,9.951
-0.166,-0.109,9.997
-0.187,-0.08,9.997
-0.142,-0.015,9.942
-0.17,-0.051,9.975
-0.125,-0.085,9.956
-0.142,-0.054,9.947
-0.134,-0.044,9.932
-0.137,-0.054,9.997
-0.118,-0.044,9.971
-0.187,-0.051,9.918
-0.218,-0.085,9.908
-0.156,-0.049,9.954
-0.197,-0.063,9.959
-0.139,-0.058,9.956
-0.144,-0.114,9.961
-0.166,-0.104,9.954
-0.149,-0.049,9.959
-0.527,-0.274,12.451
1.6,2.062,32.464
2.594,1.063,19.684
0.631,-0.073,1.553
-0.407,-0.683,6.264
-0.668,-1.768,16.495
-0.022,0.084,11.553
0.214,0.951,4.883
-0.331,0.101,10.713
-0.616,-0.707,13.689
-0.01,-0.243,8.278
-0.213,0.264,7.294
-0.506,-0.075,13.054
0.001,-0.221,11.73
-0.046,-0.173,7.002
-0.348,0.103,9.039
-0.343,-0.233,12.846
0.078,-0.205,10.289
-0.108,-0.078,7.756
-0.462,-0.118,10.347
-0.182,0.046,11.52
0.159,0,9.188
-0.108,-0.046,8.979
-0.467,-0.176,10.986
-0.209,-0.154,10.512
0.152,0.103,8.999
-0.077,-0.015,9.853
-0.304,-0.135,10.821
-0.087,-0.157,9.705
-0.072,-0.054,9.348
-0.29,-0.02,10.457
-0.166,-0.082,10.344
-0.012,-0.039,9.377
-0.178,-0.075,9.765
-0.324,-0.147,10.476
-0.158,-0.08,9.918
-0.024,-0.037,9.585
-0.197,-0.044,10.136
-0.249,-0.061,10.21
-0.084,-0.07,9.609
-0.063,-0.02,9.817
-0.19,-0.058,10.335
-0.202,-0.106,10.011
-0.099,-0.104,9.621
-0.139,-0.049,10.018
-0.221,-0.066,10.227
-0.149,-0.054,9.77
-0.199,-0.051,9.784
-0.194,-0.044,10.16
-0.139,-0.037,10.121
-0.091,-0.114,9.738
-0.163,-0.063,9.908
-0.206,-0.042,10.15
-0.127,-0.051,9.975
-0.118,-0.097,9.784
-0.149,-0.123,10.018
-0.18,-0.078,10.112
-0.616,0.264,-12.441
0.705,-2.256,15.501
0.645,-0.781,3.317
0.128,0.661,6.355
-0.656,0.755,16.109
0.418,-0.197,12.999
0.161,0.202,4.732
-0.213,-0.032,7.967
-0.257,-0.48,14.357
-0.017,-0.051,11.062
0.14,0.381,5.671
-0.393,0.139,10.016
-0.235,-0.19,13.188
0.066,-0.317,9.128
-0.127,0.106,7.438
-0.388,-0.018,11.412
-0.015,-0.157,11.532
0.078,-0.094,8.276
-0.412,-0.044,9.13
-0.431,0.015,11.57
0.097,-0.015,10.196
0.099,-0.027,8.73
-0.343,-0.109,10.109
-0.376,-0.152,10.864
-0.048,0.003,9.442
-0.072,0.034,9.482
-0.295,-0.152,10.655
-0.182,-0.169,10.109
-0.041,-0.128,9.288
-0.218,-0.049,10.045
-0.259,-0.025,10.478
-0.077,-0.063,9.743
-0.065,-0.051,9.554
-0.271,-0.092,10.268
-0.168,-0.109,10.186
-0.039,-0.049,9.65
-0.115,-0.025,9.975
-0.254,-0.106,10.284
-0.182,-0.066,9.901
-0.048,-0.032,9.681
-0.199,-0.044,10.138
-0.247,-0.109,10.205
-0.149,-0.114,9.758
-0.103,-0.049,9.791
-0.139,-0.082,10.217
-0.178,-0.123,10.042
-0.17,-0.049,9.662
-0.168,-0.039,9.975
-0.156,-0.07,10.258
-0.108,-0.085,9.925
-0.139,-0.099,9.767
-0.199,-0.049,10.016
-0.149,-0.027,10.086
-0.127,-0.078,9.832
-0.142,-0.07,9.882
-0.221,-0.066,10.153
-0.178,-0.073,9.959
-0.134,-0.027,9.76
-0.149,-0.058,9.963
-0.168,-0.073,10.129
-0.146,-0.099,9.841
-2.737,-0.238,0.037
-0.585,-1.706,26.663
-1.748,0.247,11.919
-0.23,0.752,-1.116
-1.087,-0.738,13.842
-1.224,-0.71,13.56
0.403,-0.197,5.927
0.085,0.601,6.652
-0.57,-0.257,14.378
-0.079,-0.303,12.252
-0.132,0.048,5.29
-0.398,0.134,8.536
-0.101,-0.104,14.115
0.128,-0.228,9.951
-0.123,0.173,6.48
-0.537,-0.066,10.866
-0.13,-0.221,12.499
0.178,-0.092,8.647
-0.247,0.008,8.007
-0.443,-0.008,11.307
-0.06,0.008,10.967
0.183,-0.087,8.718
-0.302,-0.188,9.626
-0.419,-0.207,11.098
-0.055,-0.015,9.64
0.063,0.101,8.929
-0.29,-0.051,10.509
-0.324,-0.164,10.67
-0.051,-0.169,9.327
-0.127,-0.061,9.571
-0.276,0.046,10.619
-0.125,0.012,10.038
0.008,-0.058,9.396
-0.228,-0.102,10.153
-0.271,-0.159,10.404
-0.012,-0.035,9.676
-0.034,0.012,9.643
-0.264,-0.027,10.275
-0.218,-0.121,10.081
-0.036,-0.058,9.59
-0.123,-0.03,10.038
-0.218,-0.106,10.349
-0.206,-0.049,9.765
-0.113,-0.049,9.669
-0.12,-0.054,10.21
-0.199,-0.063,10.188
-0.187,-0.08,9.669
-0.175,-0.061,9.858
-0.163,-0.049,10.244
-0.134,-0.061,10.009
-0.123,-0.087,9.683
-0.23,-0.087,9.997
-0.187,-0.051,10.191
-0.125,-0.056,9.882
-0.12,-0.025,9.793
-0.13,-0.09,10.109
-0.137,-0.099,10.045
-0.185,-0.035,9.753
-0.178,-0.042,9.978
-0.288,0.271,-12.558
1.399,-2.031,18.791
0.205,-0.023,-0.618
-0.012,1.157,3.741
-0.405,0.055,20.749
0.999,-0.303,12.803
0.214,0.577,2.999
-0.278,-0.195,9.386
-0.185,-0.76,15.159
0.135,-0.092,9.906
0.133,0.537,5.043
-0.515,0.125,11.182
-0.163,-0.346,13.543
0.097,-0.281,8.151
-0.245,0.235,7.476
-0.403,-0.008,12.288
0.106,-0.161,11.302
0.094,-0.039,7.608
-0.494,-0.106,9.43
-0.362,0.005,12.02
0.195,-0.008,9.877
0.051,-0.023,8.405
-0.455,-0.152,10.469
-0.41,-0.173,10.938
0.015,0.032,9.116
-0.072,0.029,9.513
-0.326,-0.066,10.971
-0.149,-0.166,10.088
-0.039,-0.082,9.027
-0.281,-0.027,10.181
-0.254,-0.02,10.672
-0.051,-0.032,9.623
-0.087,-0.082,9.506
-0.276,-0.164,10.394
-0.175,-0.157,10.131
-0.024,-0.037,9.509
-0.134,-0.075,10.035
-0.307,-0.099,10.416
-0.144,-0.087,9.791
-0.077,-0.054,9.631
-0.166,-0.035,10.193
-0.297,-0.094,10.184
-0.134,-0.147,9.626
-0.154,-0.03,9.892
-0.127,-0.025,10.306
-0.161,-0.085,9.93
-0.101,-0.058,9.664
-0.187,-0.011,10.09
-0.197,-0.015,10.287
-0.125,-0.066,9.86
-0.182,-0.07,9.781
-0.218,-0.094,10.066
-0.137,-0.058,10.071
-0.108,-0.08,9.789
-0.151,-0.133,9.913
-0.252,-0.08,10.157
-0.166,-0.082,9.906
-0.132,-0.013,9.765
-0.166,-0.044,10.038
-0.137,-0.08,10.102
-0.194,-0.135,9.87
-0.168,-0.082,9.82
-0.161,-0.142,10.124
0.928,0.57,-0.292
2.57,-0.973,17.864
0.159,0.008,-1.928
0.015,0.422,3.466
-0.719,-1.258,28.313
1.634,0.051,12.587
0.102,0.97,1.466
-0.309,-0.573,11.414
-0.247,-1.009,14.972
0.082,-0.003,8.29
-0.07,0.625,5.979
-0.51,-0.08,13.026
-0.027,-0.422,12.576
0.013,-0.37,7.122
-0.29,0.328,8.434
-0.343,-0.087,12.906
0.116,-0.238,10.67
-0.07,-0.044,7.406
-0.613,-0.164,10.167
-0.213,-0.015,12.092
0.226,-0.011,9.269
-0.043,-0.032,8.522
-0.513,-0.185,10.845
-0.321,-0.195,10.847
0.073,0.048,8.955
-0.087,0.022,9.714
-0.324,-0.147,10.983
-0.123,-0.183,9.707
-0.06,-0.073,9.116
-0.314,-0.027,10.428
-0.245,-0.015,10.567
0.003,-0.035,9.391
-0.082,-0.063,9.676
-0.283,-0.114,10.488
-0.17,-0.123,9.978
-0.036,-0.025,9.465
-0.204,-0.035,10.141
-0.29,-0.087,10.327
-0.101,-0.09,9.667
-0.046,0.01,9.671
-0.161,-0.063,10.32
-0.225,-0.099,10.083
-0.134,-0.07,9.595
-0.099,-0.037,10.011
-0.168,-0.075,10.282
-0.154,-0.042,9.858
-0.158,-0.063,9.667
-0.185,-0.056,10.157
-0.175,-0.08,10.229
-0.125,-0.097,9.738
-0.173,-0.104,9.837
-0.225,-0.054,10.165
-0.163,-0.015,10.04
-0.089,-0.044,9.758
-0.202,-0.075,9.971
-0.175,-0.118,10.169
-0.149,-0.061,9.851
-0.127,-0.025,9.762
-0.158,-0.025,10.105
-0.18,-0.085,10.086
-0.216,0.106,-13.094
-0.108,-1.56,15.954
-0.257,0.175,-3.213
0.075,0.922,0.387
-1.99,-0.035,24.807
0.734,-0.006,10.821
0.346,0.501,2.429
-0.415,-0.322,9.425
-0.182,-0.762,15.08
0.073,0.029,9.87
0.126,0.573,5.043
-0.441,0.206,11.108
-0.151,-0.358,13.342
0.063,-0.339,8.343
-0.281,0.285,7.397
-0.352,-0.082,12.192
0.126,-0.178,11.436
0.094,-0.061,7.529
-0.489,-0.061,9.334
-0.364,-0.003,12.061
0.173,-0.058,9.951
0.08,-0.011,8.465
-0.412,-0.154,10.323
-0.331,-0.111,10.988
0.018,0.039,9.164
-0.077,0.034,9.468
-0.314,-0.085,10.94
-0.161,-0.188,10.105
-0.029,-0.14,9.092
-0.254,-0.032,10.098
-0.326,-0.003,10.672
-0.027,-0.044,9.611
-0.091,-0.07,9.542
-0.259,-0.092,10.375
-0.204,-0.073,10.153
-0.043,-0.006,9.537
-0.115,-0.056,9.963
-0.273,-0.075,10.426
-0.13,-0.09,9.81
-0.055,-0.035,9.626
-0.115,-0.046,10.188
-0.273,-0.106,10.145
-0.12,-0.118,9.676
-0.075,-0.018,9.875
-0.166,-0.025,10.299
-0.161,-0.063,9.983
-0.137,-0.046,9.635
-0.218,-0.015,10.009
-0.192,-0.08,10.236
-0.087,-0.058,9.899
-0.144,-0.082,9.717
-0.23,-0.073,10.119
-0.211,-0.006,10.143
-0.111,-0.082,9.767
-0.161,-0.078,9.889
-0.182,-0.102,10.153
-0.168,-0.073,9.973
-0.163,-0.035,9.75
-0.137,-0.061,10.033
-0.18,-0.094,10.169
-0.125,-0.104,9.827
-0.149,-0.106,9.844
-0.142,-0.157,10.411
1.308,1.142,12.865
2.857,-0.413,19.43
0.499,-0.046,0.267
-0.101,0.379,5.127
-0.292,-1.294,23.239
1.031,-0.037,13.409
0.114,0.925,3.15
-0.115,-0.293,10.138
-0.494,-0.913,14.529
0.008,-0.164,9.015
-0.096,0.537,6.176
-0.508,-0.07,12.583
0.042,-0.367,12.753
-0.027,-0.367,7.55
-0.288,0.3,8.151
-0.393,-0.097,12.573
0.061,-0.202,10.983
-0.01,-0.097,7.593
-0.518,-0.111,9.937
-0.237,0.07,11.893
0.24,-0.049,9.597
0.023,-0.046,8.611
-0.546,-0.219,10.639
-0.381,-0.178,10.861
0.039,0.048,9.013
-0.036,0.067,9.669
-0.295,-0.106,10.924
-0.161,-0.2,9.863
-0.06,-0.142,9.147
-0.249,0.051,10.366
-0.216,-0.025,10.612
0.006,-0.075,9.487
-0.094,-0.054,9.616
-0.285,-0.154,10.531
-0.154,-0.125,10.059
-0.051,0.003,9.518
-0.173,-0.042,10.109
-0.295,-0.085,10.33
-0.101,-0.08,9.643
-0.024,-0.051,9.681
-0.187,-0.058,10.358
-0.221,-0.106,10.117
-0.108,-0.116,9.571
-0.07,-0.025,9.951
-0.17,-0.058,10.318
-0.146,-0.085,9.846
-0.175,-0.073,9.693
-0.134,-0.075,10.138
-0.168,-0.046,10.179
-0.139,-0.092,9.762
-0.151,-0.128,9.801
-0.185,-0.075,10.088
-0.158,-0.035,10.023
-0.12,-0.097,9.856
-0.142,-0.118,9.98
-0.197,-0.102,10.09
-0.156,-0.07,9.913
-0.158,-0.027,9.82
-0.163,-0.075,10.052
-0.166,-0.07,10.045
-0.156,-0.121,9.868
-0.185,-0.068,9.868
-2.732,-0.307,2.328
-1.712,-0.82,27.499
-0.915,0.688,11.541
-0.307,0.424,0.964
-0.747,-0.552,10.354
-1.425,-0.837,15.111
0.348,-0.051,6.681
0.085,0.848,5.055
-0.637,-0.231,14.788
-0.273,-0.437,12.841
-0.144,0.058,5.501
-0.369,0.142,8.07
-0.158,-0.035,14.019
0.166,-0.272,10.234
-0.027,0.137,6.396
-0.556,-0.039,10.507
-0.19,-0.303,12.666
0.209,-0.178,8.979
-0.192,0.01,7.749
-0.429,0.048,11.122
-0.075,-0.003,11.266
0.149,-0.051,8.68
-0.254,-0.125,9.43
-0.479,-0.219,11.134
-0.07,-0.051,9.942
0.176,0.123,8.824
-0.23,-0.049,10.342
-0.35,-0.257,10.806
-0.065,-0.207,9.327
-0.065,-0.035,9.497
-0.314,0.032,10.581
-0.144,-0.03,10.09
-0.034,-0.056,9.281
-0.209,-0.104,10.098
-0.254,-0.111,10.476
-0.084,-0.058,9.688
-0.039,0.022,9.607
-0.216,-0.035,10.296
-0.245,-0.092,10.126
-0.084,-0.075,9.506
-0.132,-0.046,9.995
-0.242,-0.078,10.325
-0.204,-0.128,9.856
-0.07,-0.063,9.619
-0.139,-0.037,10.16
-0.182,-0.066,10.224
-0.154,-0.087,9.729
-0.13,-0.042,9.789
-0.178,-0.03,10.234
-0.137,-0.03,10.064
-0.077,-0.085,9.662
-0.192,-0.058,9.904
-0.199,-0.061,10.184
-0.108,-0.063,9.937
-0.125,-0.051,9.753
-0.204,-0.116,10.042
-0.187,-0.037,10.121
-0.149,-0.049,9.841
-0.142,-0.082,9.832
-0.163,-0.063,10.148
-1.097,-0.284,-18.622
0.947,-2.07,21.585
-1.533,0.077,-4.485
-0.297,0.312,-4.279
-0.989,0.134,11.524
-1.19,-0.157,12.508
0.901,0.137,3.727
-0.206,0.613,5.551
-0.424,-0.724,15.913
-0.012,-0.173,11.989
0.111,0.319,4.481
-0.429,0.338,8.929
-0.089,-0.219,14.397
0.224,-0.312,9.293
-0.199,0.225,6.372
-0.448,-0.056,11.402
0.032,-0.221,12.334
0.224,-0.161,8.067
-0.3,0.067,8.29
-0.434,0.01,11.714
0.049,-0.056,10.782
0.178,-0.078,8.474
-0.292,-0.169,9.671
-0.398,-0.14,11.242
-0.012,0.043,9.511
0.042,0.146,8.946
-0.319,-0.054,10.785
-0.242,-0.226,10.605
-0.015,-0.171,9.09
-0.079,-0.054,9.659
-0.257,0.055,10.78
-0.127,-0.051,9.911
-0.034,-0.09,9.307
-0.247,-0.123,10.268
-0.242,-0.118,10.411
-0.036,-0.025,9.554
-0.039,0.01,9.714
-0.252,-0.073,10.44
-0.235,-0.13,10.023
-0.053,-0.085,9.506
-0.134,-0.058,10.035
-0.223,-0.07,10.37
-0.142,-0.08,9.774
-0.113,-0.085,9.7
-0.146,-0.078,10.268
-0.175,-0.07,10.15
-0.125,-0.075,9.664
-0.111,-0.001,9.849
-0.151,-0.068,10.251
-0.127,-0.061,10.002
-0.134,-0.066,9.674
-0.18,-0.087,9.98
-0.197,-0.051,10.217
-0.125,-0.003,9.892
-0.151,-0.109,9.789
-0.192,-0.106,10.081
-0.154,-0.106,10.109
-0.139,0,9.798
-0.123,-0.058,9.923
-2.77,-0.245,-4.963
-1.061,-1.543,23.867
-1.116,0.798,8.007
-0.197,0.307,1.711
-0.585,-0.121,9.949
-1.004,-0.896,15.432
0.585,-0.099,5.924
0.09,1.013,4.339
-0.549,-0.307,15.475
-0.144,-0.398,13.04
-0.067,0.029,4.979
-0.467,0.288,8.01
-0.154,-0.102,14.407
0.216,-0.274,10.109
-0.055,0.166,6.164
-0.589,-0.02,10.696
-0.173,-0.228,12.805
0.224,-0.219,8.766
-0.194,0.036,7.706
-0.491,0.015,11.266
-0.055,0.058,11.304
0.173,-0.044,8.589
-0.252,-0.104,9.453
-0.482,-0.233,11.244
-0.048,-0.061,9.88
0.106,0.146,8.771
-0.278,-0.042,10.457
-0.352,-0.173,10.809
-0.094,-0.228,9.221
-0.058,-0.054,9.506
-0.292,0.06,10.713
-0.127,-0.042,10.047
0.035,-0.063,9.279
-0.185,-0.063,10.136
-0.338,-0.152,10.531
-0.108,-0.085,9.676
-0.051,-0.023,9.559
-0.223,-0.049,10.344
-0.213,-0.066,10.184
-0.106,-0.044,9.497
-0.065,-0.03,9.939
-0.254,-0.092,10.449
-0.166,-0.106,9.863
-0.094,-0.011,9.578
-0.144,-0.061,10.145
-0.197,-0.061,10.291
-0.127,-0.121,9.695
-0.154,-0.015,9.777
-0.154,-0.023,10.258
-0.127,-0.044,10.069
-0.087,-0.063,9.674
-0.187,-0.073,9.904
-0.202,-0.032,10.239
-0.115,-0.037,9.916
-0.101,-0.08,9.736
-0.154,-0.125,10.078
-0.178,-0.068,10.078
-0.144,-0.058,9.803
-0.115,-0.02,9.892
-0.111,-0.066,10.184
-0.137,-0.08,10.011
-0.178,-0.082,9.753
-0.17,-0.082,9.947
-1.928,-0.319,-12.529
0.633,-2.426,23.189
-2.375,-0.137,3.154
-0.029,0.479,-2.186
-1.128,-0.432,13.299
-1.15,-0.446,13.246
0.664,0.039,4.201
-0.101,0.673,5.987
-0.609,-0.494,15.326
-0.106,-0.19,12.082
0.023,0.211,4.79
-0.417,0.225,8.752
-0.103,-0.228,14.237
0.216,-0.25,9.607
-0.156,0.127,6.382
-0.525,-0.078,11.182
-0.063,-0.231,12.391
0.197,-0.099,8.417
-0.281,0.053,8.072
-0.46,0.024,11.546
0.015,-0.035,10.89
0.161,-0.087,8.443
-0.324,-0.176,9.738
-0.434,-0.195,11.182
0.037,0.075,9.626
0.109,0.12,8.884
-0.281,-0.044,10.679
-0.276,-0.221,10.684
-0.012,-0.154,9.154
-0.043,-0.03,9.619
-0.285,0.041,10.744
-0.075,-0.025,9.918
-0.039,-0.09,9.312
-0.213,-0.102,10.22
-0.276,-0.109,10.459
-0.039,-0.092,9.611
-0.06,-0.008,9.626
-0.216,-0.08,10.385
-0.223,-0.128,10.04
-0.065,-0.128,9.477
-0.13,-0.001,10.038
-0.249,-0.066,10.421
-0.18,-0.121,9.786
-0.154,-0.051,9.657
-0.154,-0.09,10.265
-0.173,-0.13,10.15
-0.146,-0.097,9.65
-0.137,-0.046,9.863
-0.149,-0.075,10.229
-0.12,-0.097,10.004
-0.123,-0.082,9.664
-0.173,-0.097,9.968
-0.209,-0.078,10.165
-0.137,-0.061,9.882
-0.123,-0.07,9.793
-0.18,-0.075,10.074
-0.123,-0.075,10.05
-0.154,-0.008,9.829
-2.462,-0.403,-4.916
-0.786,-1.837,29.878
-1.772,0.728,8.493
-0.082,0.197,1.27
-0.575,-0.363,10.849
-1.348,-0.791,14.429
0.427,-0.039,5.039
-0.113,1.013,5.417
-0.491,-0.406,15.836
-0.146,-0.334,12.178
-0.084,0.123,4.603
-0.486,0.113,9.008
-0.113,-0.181,14.491
0.202,-0.25,9.408
-0.108,0.199,6.164
-0.575,-0.02,11.273
-0.01,-0.307,12.576
0.214,-0.207,8.319
-0.285,0.036,8.024
-0.448,0.046,11.558
0.001,0.034,11.014
0.149,-0.085,8.438
-0.336,-0.173,9.659
-0.462,-0.2,11.28
0.023,-0.051,9.611
0.123,0.142,8.874
-0.264,-0.03,10.596
-0.257,-0.159,10.684
-0.015,-0.209,9.133
-0.103,-0.025,9.609
-0.281,0.029,10.701
-0.125,-0.018,9.918
-0.027,-0.044,9.255
-0.259,-0.13,10.22
-0.3,-0.125,10.473
-0.034,-0.027,9.571
-0.058,0.017,9.698
-0.197,-0.066,10.358
-0.206,-0.137,10.064
-0.058,-0.063,9.521
-0.151,-0.025,10.064
-0.247,-0.111,10.368
-0.158,-0.118,9.743
-0.139,-0.051,9.65
-0.132,-0.025,10.236
-0.168,-0.099,10.203
-0.123,-0.094,9.667
-0.156,-0.106,9.851
-0.18,-0.07,10.26
-0.166,-0.106,10.011
-0.113,-0.094,9.69
-0.206,-0.082,9.997
-0.199,-0.044,10.181
-0.115,-0.063,9.908
-0.108,-0.068,9.789
-0.154,-0.133,10.066
-0.187,-0.075,10.057
-0.132,-0.051,9.789
-0.134,-0.073,9.916
0.24,0.111,-6.931
1.77,-0.932,17.148
-0.101,0.055,-3.704
0.039,0.563,1.284
-1.686,-0.628,28.279
